na wynos	Poproszę kawę na wynos.	навынос
smacznego	Smacznego, wygląda pysznie!	приятного аппетита
jestem głodny	Jestem głodny, zjedzmy coś.	я голоден
chce mi się pić	Chce mi się pić, weźmy wodę.	я хочу пить
robię zakupy	W sobotę robię zakupy na cały tydzień.	делаю покупки
jeszcze nie	Jeszcze nie skończyłem raportu.	ещё нет
dam radę	Spokojnie, dam radę sam.	я справлюсь
nie szkodzi	Nie szkodzi, spróbujemy jeszcze raz.	ничего страшного
na pewno	Na pewno przyjdę na spotkanie.	точно, обязательно
może później	Może później, teraz jestem zajęty.	может, позже
jeszcze raz	Powiedz to jeszcze raz, proszę.	ещё раз
od razu	Zrobiłem to od razu po pracy.	сразу
w ogóle	On w ogóle nie pije kawy.	вообще
przede wszystkim	Przede wszystkim musimy odpocząć.	прежде всего
na przykład	Lubię owoce, na przykład jabłka.	например
właśnie tak	Właśnie tak to działa.	именно так
tak czy inaczej	Tak czy inaczej musimy iść.	так или иначе
mniej więcej	To zajmie mniej więcej godzinę.	примерно
co słychać	Cześć, co słychać u ciebie?	как дела, что нового
dawno się nie widzieliśmy	Dawno się nie widzieliśmy!	давно не виделись
trzymaj się	Trzymaj się, napiszę wieczorem.	береги себя
powodzenia	Powodzenia na egzaminie!	удачи
dobranoc	Dobranoc, śpij dobrze.	спокойной ночи
dzień wolny	Jutro mam dzień wolny.	выходной день
w weekend	W weekend jedziemy nad morze.	на выходных
o której godzinie	O której godzinie zaczynamy?	во сколько
za pięć minut	Będę gotowy za pięć minut.	через пять минут
przed chwilą	Przed chwilą wyszedł z biura.	только что
w tym tygodniu	W tym tygodniu mam dużo pracy.	на этой неделе
w przyszłym roku	W przyszłym roku zmienię pracę.	в следующем году
od czasu do czasu	Od czasu do czasu gram w piłkę.	время от времени
codziennie rano	Codziennie rano piję herbatę.	каждое утро
późno w nocy	Wrócił późno w nocy.	поздно ночью
mam nadzieję	Mam nadzieję, że się uda.	надеюсь
szkoda, że	Szkoda, że nie mogłeś przyjść.	жаль, что
cieszę się	Cieszę się, że jesteś.	я рад
martwię się	Martwię się o niego.	я волнуюсь
boję się	Boję się latać samolotem.	я боюсь
podoba mi się	Bardzo podoba mi się to miasto.	мне нравится
wolę	Wolę kawę niż herbatę.	я предпочитаю
nie znoszę	Nie znoszę stać w korkach.	терпеть не могу
warto spróbować	Warto spróbować chociaż raz.	стоит попробовать
dam znać	Dam znać, kiedy dojadę.	дам знать
zadzwonię do ciebie	Zadzwonię do ciebie wieczorem.	позвоню тебе
napisz do mnie	Napisz do mnie, jak wrócisz.	напиши мне
odbierz telefon	Odbierz telefon, to szef.	возьми трубку
w tej chwili	W tej chwili nie mogę rozmawiać.	в данный момент
jestem w drodze	Jestem w drodze, będę za chwilę.	я в пути
spóźnię się	Spóźnię się piętnaście minut.	я опоздаю
czekam na ciebie	Czekam na ciebie przed wejściem.	жду тебя
gdzie jesteś	Gdzie jesteś teraz?	где ты
skręć w prawo	Na skrzyżowaniu skręć w prawo.	поверни направо
idź prosto	Idź prosto do końca ulicy.	иди прямо
na rogu	Sklep jest na rogu.	на углу
obok dworca	Mieszkam obok dworca.	рядом с вокзалом
daleko stąd	To nie jest daleko stąd.	далеко отсюда
muszę się pospieszyć	Muszę się pospieszyć na pociąg.	мне надо поторопиться
mam spotkanie	O trzeciej mam spotkanie.	у меня встреча
wysłać maila	Muszę wysłać maila do klienta.	отправить письмо
zrobić przerwę	Chcę zrobić przerwę na kawę.	сделать перерыв
odpocząć chwilę	Muszę odpocząć chwilę po pracy.	немного отдохнуть
iść spać	Czas iść spać, jest późno.	идти спать
wstać wcześnie	Jutro muszę wstać wcześnie.	встать рано
mam dużo pracy	W tym miesiącu mam dużo pracy.	у меня много работы
dać sobie radę	Musisz dać sobie radę sam.	справиться самому
nie ma sprawy	Nie ma sprawy, pomogę ci.	без проблем
co się stało	Co się stało? Wyglądasz na zmartwionego.	что случилось
z góry dziękuję	Z góry dziękuję za odpowiedź.	заранее спасибо
na wszelki wypadek	Weź parasol na wszelki wypadek.	на всякий случай
w razie czego	W razie czego dzwoń do mnie.	если что
jak najszybciej	Odpisz jak najszybciej.	как можно скорее
chodzi o to	Chodzi o to, że nie mam czasu.	дело в том
nie mam pojęcia	Nie mam pojęcia, gdzie on jest.	понятия не имею
zgadzam się z tobą	Zgadzam się z tobą całkowicie.	согласен с тобой
masz rację	Masz rację, tak będzie lepiej.	ты прав
nie zgadzam się	Nie zgadzam się z tą decyzją.	я не согласен
dobra robota	Dobra robota, dziękuję!	хорошая работа
